business.rating,business.review_count,business.is_claimed,business.name,business.categories,business.is_closed,business.location.city,business.location.neighborhoods,business.location.postal_code
4,147,TRUE,Navy Yard Bistro & Wine Bar,Wine Bars;American (New),FALSE,Charlestown,Charlestown,2129
4.5,28,TRUE,Cambridge Deli & Grill,Delis;American (Traditional),FALSE,Cambridge,Central Square,2139
4,211,TRUE,Sweet Ginger Thai Cuisine,Thai;Vegetarian,FALSE,Somerville,,2143
4,327,TRUE,Piattini,Italian,FALSE,Boston,Back Bay,2116
4.5,30,TRUE,Mark's Sandwich Shop,Food Delivery Services;Sandwiches;Pizza,FALSE,Medford,,2115
4,216,TRUE,Super Fusion Cuisine,Sushi Bars;Japanese;Asian Fusion,FALSE,Brookline,,2446
4,506,TRUE,Veggie Galaxy,Vegetarian;Diners;Breakfast & Brunch,FALSE,Cambridge,Central Square,2139
4,177,TRUE,Nud Pob Thai Cuisine,Thai;Food Delivery Services,FALSE,Boston,,2215
4,130,TRUE,Regina Pizzeria,Pizza;Italian,FALSE,Allston,Allston/Brighton,2134
4,134,TRUE,Allston Diner,Burgers;Diners;Breakfast & Brunch,FALSE,Allston,Allston/Brighton,2134
4,364,TRUE,The Kebab Factory,Indian;Pakistani,FALSE,Somerville,,2143
4,250,TRUE,Pad Thai Cafe,Thai,FALSE,Boston,,2115
4,610,FALSE,Giacomo's,Italian,FALSE,Boston,Back Bay,2116
4,179,TRUE,Lucy Ethiopian Cafe,Ethiopian;Coffee & Tea,FALSE,Boston,,2115
4,375,TRUE,Anna's Taqueria,Mexican,FALSE,Brookline,,2446
4,248,FALSE,New Saigon Sandwich,Delis;Vietnamese;Sandwiches,FALSE,Boston,Chinatown,2111
4,674,TRUE,Picco,Pizza;Italian,FALSE,Boston,South End,2116
4.5,75,TRUE,Cocobeet,Juice Bars & Smoothies;Sandwiches,FALSE,Boston,Downtown,2108
4,97,TRUE,Swissb�_kers,Bakeries;Cafes;Sandwiches,FALSE,Allston,Allston/Brighton,2134
4,1024,TRUE,Sunset Grill & Tap,Bars;American (Traditional),FALSE,Allston,Allston/Brighton,2134
4,272,TRUE,El Pelon Taqueria,Mexican,FALSE,Brighton,,2135
4.5,85,FALSE,Mi Pueblito Restaurant,Mexican;Latin American,FALSE,Boston,East Boston,2128
4,352,TRUE,Bergamot,American (New),FALSE,Somerville,,2143
4,166,TRUE,House of Chang,Chinese,FALSE,Cambridge,,2138
4,433,FALSE,Felipe's Taqueria,Mexican,FALSE,Cambridge,Harvard Square,2138
4,284,TRUE,Cantina La Mexicana,Mexican,FALSE,Somerville,,2143
