,,,,,,,
Id2,Total; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; Total population,Percent; Age group: 20-40,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median family income (dollars),Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree and above,Percent; Population - Asian alone
2072,27359,14506,12853,22,93449,31.3,1.96%
2081,18899,10329,8570,17.2,106695,48.6,1.78%
2090,14616,7553,7063,13.2,160227,68.2,4.15%
2093,10960,5231,5729,14.1,116466,48.6,0.68%
2108,4155,2116,2039,40.2,153618,85.3,2.67%
2109,4277,2220,2057,48.9,162045,72.4,2.97%
2110,1486,657,829,19.1,196518,80,4.17%
2111,7616,3612,4004,40.6,88333,54.8,40.39%
2113,7276,3828,3448,71.3,112589,74.2,3.08%
2114,11933,6085,5848,57.9,169107,80.8,10.49%
2115,29178,14748,14430,52.1,50303,60.3,14.89%
2116,21318,11152,10166,43.1,134875,75.5,16.05%
2118,26779,12047,14732,45,49090,54.6,16.96%
2119,24237,13025,11212,29.6,35311,22,1.84%
2120,13217,6970,6247,52.1,29583,31.3,12.16%
2121,26801,14782,12019,30,35439,14.9,0.78%
2122,25437,13356,12081,34.5,50246,21.1,20.53%
2124,49867,26570,23297,30.4,55031,21.2,6.70%
2125,31996,16099,15897,38.3,44397,28.1,14.15%
2126,27335,15122,12213,26,52774,14.8,0.62%
2127,32547,18022,14525,49.1,68110,52.5,4.43%
2128,41680,19317,22363,37.7,49470,18.1,3.83%
2129,17052,9076,7976,40.5,98445,59.5,7.51%
2130,36866,19531,17335,44.4,95426,63.8,5.41%
2131,30370,16284,14086,29.6,70598,39.6,3.32%
2132,27163,14013,13150,25.3,110219,51,6.00%
2134,20478,9889,10589,69.4,49355,54.7,15.53%
2135,38839,21305,17534,57.1,62602,58.4,14.60%
2136,29219,15300,13919,29.6,74734,26.1,1.96%
2138,35661,18742,16919,45.8,116194,83.8,11.56%
2139,35945,18254,17691,50.9,93136,71.2,12.97%
2140,17924,9496,8428,38.7,92800,70.2,11.27%
2141,12703,6326,6377,50,76082,59.5,17.78%
2142,2805,1245,1560,62.1,126042,88.7,25.38%
2143,24965,12625,12340,56.3,75756,57.3,13.00%
2144,24399,12992,11407,55.2,90829,66.3,7.34%
2145,24153,12119,12034,41.4,57433,35,10.01%
2148,59402,30554,28848,34.9,64431,31.2,22.28%
2149,41607,20626,20981,32.3,58403,15.7,3.76%
2150,35527,17537,17990,36.7,46766,13.7,3.04%
2151,51729,25248,26481,29.5,55892,16.6,5.90%
2152,17584,9298,8286,25.1,84729,33.8,0.87%
2155,58567,30735,27832,35.6,83357,43.3,8.05%
2163,1842,1063,779,62.2,91190,97.2,21.12%
2169,54043,27776,26267,34.4,75083,37.6,19.00%
2170,19962,10627,9335,33,70634,34.5,30.74%
2171,18073,9405,8668,32.9,81828,41.3,32.96%
2176,27043,13806,13237,25,111311,51.4,4.25%
2180,21414,11182,10232,22.1,98323,38.1,4.40%
2184,35731,18717,17014,24.2,96525,35.2,7.43%
2186,26954,13883,13071,20.9,130270,59.4,5.57%
2188,14206,7456,6750,26,80756,32,5.64%
2189,14807,7800,7007,26.2,86027,30,4.84%
2190,16176,8281,7895,24.7,104496,34.6,3.89%
2191,8744,4665,4079,17.6,87766,31.1,2.90%
2199,1290,659,631,43.3,146786,82.7,6.12%
2203,0,0,0,0,-,0,#DIV/0!
2210,1905,803,1102,58.2,223411,85.8,1.47%
2215,23719,13445,10274,58.2,72583,78.1,17.07%
2301,60265,31438,28827,26.2,52496,17.3,2.26%
2302,33651,17283,16368,25.5,64813,19,1.46%
2322,4349,2293,2056,20.7,87672,21.4,0.80%
2324,26687,12971,13716,27.6,103529,34.7,0.54%
2330,11497,6050,5447,17.6,88917,22.3,0.57%
2332,15040,7904,7136,11.4,142557,66.1,1.14%
2333,13794,7069,6725,20.6,96689,25.1,0.55%
2338,7524,3782,3742,17.4,89221,22.8,0.00%
2339,13902,6726,7176,18.8,123222,43.7,1.44%
2341,10209,5309,4900,19.8,98613,25.4,0.43%
2343,10595,5516,5079,25.3,75032,23.7,2.96%
2346,23037,11945,11092,22.1,84096,24,1.66%
2347,10674,5589,5085,18.7,102260,35.5,1.29%
2351,15930,8417,7513,26.6,87139,25.9,2.29%
2356,12730,6505,6225,23,133112,51.9,0.59%
2357,1010,513,497,36.9,-,24,5.35%
2359,17831,8969,8862,21.1,97247,32.7,0.78%
2360,56425,28397,28028,22.1,93525,33.1,0.60%
2364,12609,6523,6086,17.9,93281,39.1,1.87%
2366,149,0,149,49,-,4.3,0.00%
2367,2817,1522,1295,20.4,106076,34.6,0.00%
2368,32577,17603,14974,24.5,74513,27.9,11.87%
2370,17518,9181,8337,24.3,75789,22.7,1.59%
2375,9480,4996,4484,24.9,106429,43.7,2.65%
2379,6907,3472,3435,22,97861,28,1.07%
2382,14493,7400,7093,26,90781,24.7,1.01%
2420,13927,7326,6601,13.5,166618,77.4,21.52%
2421,17600,8915,8685,12.1,155962,76.8,19.78%
2445,20853,11726,9127,34,169877,78.6,12.58%
2446,28807,16499,12308,42.8,133019,80.8,16.84%
2451,16573,8332,8241,34.9,102146,49,11.27%
2452,14434,7451,6983,34.1,85205,49.3,12.60%
2453,29829,14992,14837,40.6,81438,43.8,9.56%
2457,1343,833,510,54.8,"250,000+",81.3,14.59%
2458,11362,6106,5256,26.1,127807,69.5,12.96%
2459,18210,9501,8709,19,165030,79.6,14.76%
2460,8639,4738,3901,22.6,135262,72.1,8.22%
2461,6856,3680,3176,18.8,150778,82.6,19.40%
2462,1292,784,508,14.7,215313,62.7,18.81%
2464,3112,1611,1501,32.3,91818,67.5,15.26%
2465,11822,6174,5648,17.9,153457,70.5,8.75%
2466,8591,4552,4039,30.3,136429,74.6,17.31%
2467,22796,12752,10044,33.2,148396,78,17.74%
2468,5251,2585,2666,13.5,208843,82.9,11.33%
2472,32274,16798,15476,34.4,102131,55.8,6.31%
2474,26079,13724,12355,28,105922,62,8.02%
2476,16873,8602,8271,20.8,121198,68,7.82%
2478,24691,13371,11320,22.3,125963,70.4,11.59%
2481,16332,9426,6906,17.1,215567,83,10.18%
2482,10513,5935,4578,16.4,162604,77.6,9.87%
2492,19950,10096,9854,15.6,168317,74.2,4.77%
2493,11430,5913,5517,13.4,226061,78.8,10.14%
2494,9055,4855,4200,15.8,138095,69.1,11.17%
2532,11592,5808,5784,23.1,75333,32.3,0.33%
2534,982,460,522,14.9,108690,30.1,0.00%
2535,1240,615,625,22.7,96250,51.2,0.00%
2536,19524,9961,9563,18.8,70950,34.1,2.78%
2537,6256,3305,2951,15.9,94877,51.4,1.10%
2538,3162,1564,1598,29.8,74457,15.7,0.00%
2539,4086,1819,2267,21.9,70563,32.2,0.00%
2540,8521,4406,4115,13,96815,54,3.10%
2542,1284,591,693,55.3,44917,30.7,0.23%
2543,684,378,306,13.2,102813,76.4,1.17%
2553,314,176,138,56,93826,55.3,0.00%
2554,9847,4887,4960,27.9,92721,43.2,1.27%
2556,2890,1656,1234,14.3,92287,57.3,0.59%
2557,4513,2340,2173,14.7,90489,38.3,2.92%
2558,1791,1029,762,23.6,54844,10.1,0.00%
2559,3941,1984,1957,18,83063,45.3,1.98%
2561,471,216,255,29.1,73894,50,0.00%
2562,3232,1714,1518,13.1,84015,27.7,0.25%
2563,9746,5116,4630,17.6,97500,43.8,0.57%
2564,347,135,212,28.7,56172,55.3,0.00%
2568,3967,1934,2033,25.9,62500,46.5,0.20%
2571,11255,5938,5317,18.1,64326,23.6,1.21%
2575,2606,1568,1038,23.6,66908,43.5,0.00%
2576,3898,1984,1914,25.6,80888,10.7,3.21%
2584,0,0,0,0,-,0,#DIV/0!
2601,13402,6978,6424,28,54814,23.9,1.65%
2630,2129,969,1160,16.6,90547,50.2,0.89%
2631,9721,5125,4596,15.7,81426,43,0.26%
2632,11466,6057,5409,15.2,76583,37.2,1.23%
2633,4057,2048,2009,10.6,88686,51.2,0.54%
2635,3366,1717,1649,15.8,86889,48.6,0.48%
2637,82,42,40,0,-,44.8,18.29%
